Timestamp,Pills,Weed,Hash,MDMA,Cocaine,"Steroids, PEDs",Drugs,Speed,Blotter,White,GHB,Heroin,Prescription,Tan,Seeds,2C-B,Ketamine,Psychedelics,Cannabis,Stimulants,Cubensis,Methylone,LSD,DMT,Shrooms,Mephedrone,Money,Salvia,4-FA,Concentrates,Ecstasy,Ibogain,2C-E,Benzos,MXE,Custom Orders,Crack,Services,2C-P,Viagra,5-MeO-DMT,Spores,2C-C,DOC,Lotteries & games,Yubikeys,AMT,5-APB,Other,Mescaline,2C-T-2,Caffeine,Synthetic,"CDs, DVDs, software, etc.",Atlantis,Digital currencies,Cuttings,2C-I,25I-NBOMe,2C Family,4-FMC,Books,Tickets,Drug paraphernalia,6-APB,TMA Family,Fireworks,NBOMe,Dissolved,4-AcO-DMT,DOx,Magazines,2-FA,Precursors,Opioids,Papers,2C-D,Handbags,Jewelry,Grinders,Beverages,Medical supplies,Accessories,Mexicana,4-HO-DIPT,MDAI,Crystal / Powder,Herbs & Supplements,Bondage,Alcohol,25C-NBOMe,Opium,Soma,Packaging,DOM,Physical Books,Sunglasses,Gold,Recipes,4-MEC,4-AcO-DET,SSRIs,MDA,Tobacco,Liberty caps,Dissociatives,Topicals,Smoking Blend,Bullion,Oils,4-HO-MIPT,FAs,Adderall,San Pedro,Musical instruments,Peyote,Edibles,Inhalants,Unknown,Dimethocaine,4-FMA,Hardware,Silicone,Crystal,Weight loss,LSA,Instruments,2C-T-7,Computer equipment,Antibiotics,DOI,4-AcO-MIPT,Blunt Wraps,25D-NBOMe,Ethylphenidate,MDPPP,Vinyl,Art,4-HO-MET,PCP,IV/IM,FMCs,FMAs,4-HO family,Melee,Security,Glass,Gardening Supplies,DOB,Weaponry,Digital goods,5-MEO-AMT,Pipes,Electronics,Silver,Lock picks,Prostate Massager,Ethylone,Collectibles,Medical,Glassware,Mimosa Hostilis,Renewable Energy,Toys,Biotic materials,Newsletters,2-FMA,Pain Relief,Rolling Supplies,Vaporizers,A-PVP,5-MeO-DiPT,"3,4DMMC",Food,2C-T-4,Loans,Bongs,Writing,Watches,Passports,Entheogens,Ammunition,Tramadol,Lab Supplies,Fake IDs,Forgeries,5-MeO-DALT,Scales,Intoxicants,Pharmaceuticals,Liquid,Barbiturates,Lab Testing,Home & Garden,MDPV,Apparel,Invites / Accounts,Video,Kink,Cones,azurescens,Microdots,Supplements,Meth,Cyanescens,"Security, defense",Erotica,Ephedrine,Explosives,Dry,Chemicals,Clothing,Cultures,Butylone,DXM,25B-NBOMe,Metal,5-MEO-MIPT,Sporting goods
10-03-2012,34,23,14,16,17,26,8,15,1,12,12,5,5,8,2,6,2,5,1,3,1,3,1,0,3,2,1,2,3,1,2,3,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-03-2012,43,23,14,22,20,26,14,16,3,12,13,9,13,8,3,7,2,5,5,3,1,3,1,0,4,2,1,2,3,1,2,3,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-2012,48,25,17,22,20,26,16,21,3,12,15,9,13,10,2,7,2,5,5,3,1,3,1,0,4,3,1,2,3,1,2,3,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-03-2012,53,29,21,22,21,26,12,24,3,12,14,10,18,10,4,8,7,5,6,3,1,3,1,0,4,3,1,2,3,1,2,3,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-03-2012,53,29,22,23,28,26,13,30,3,13,14,13,18,9,6,8,7,5,4,4,2,3,1,0,4,3,1,2,3,4,2,3,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-03-2012,55,30,23,24,27,26,17,30,2,14,14,14,18,9,7,8,2,5,3,4,2,3,1,0,4,3,1,2,3,5,2,3,0,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-03-2012,52,31,25,24,27,26,15,29,2,14,13,14,18,10,7,8,3,4,1,5,2,3,1,0,4,3,1,2,3,5,2,3,0,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-04-2012,58,34,32,24,28,26,20,29,2,15,13,14,18,10,7,8,3,4,1,5,2,3,1,0,4,3,1,3,3,4,2,1,0,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-04-2012,55,33,32,24,25,26,19,33,0,15,13,14,18,13,7,8,3,4,3,4,2,3,1,0,4,3,1,3,2,3,2,1,0,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-2012,55,33,33,22,24,26,17,29,0,13,13,14,19,12,8,6,3,4,2,4,2,3,1,0,4,3,1,3,1,3,2,1,0,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
